Device Name,Comment,Status,T/C Set Value,Present Value (16 bits),Floating Point,Format,T/C Set Value Reference
X0,Sensor Out,false,,,,,
X1,Sensor In,false,,,,,
Y7,GREEN LIGHT,false,,,,,
Y6,RED LIGHT,false,,,,,
Y5,CONVEYOR,false,,,,,
Y4,CONVEYOR,false,,,,,
Y3,CONVEYOR,false,,,,,
D500,COUNT VALUE,false,,,,Signed Decimal,
D501,SCALE VALUE REAL,false,,,,Signed Decimal,
D502,SCALE VALUE STABLE,false,,,,Signed Decimal,
D503,SCALE STABLE TRIGER,false,,,,Signed Decimal,
D504,SENSOR IN,false,,,,Signed Decimal,
D505,SENSOR OUT,false,,,,Signed Decimal,
D506,LIGHT TOWN_0_1_2,false,,,,Signed Decimal,
D508,DELAY CONVEYOR,false,,,,Signed Decimal,
,,false,,,,,
